   10.000000000000000       0.50000000000000000       0.57142857142857140      -4.97067035767729219E-042      !  Rmi/cm, dR/cm, dA/deg, dZ/cm
 # Field map generated using geneSectorMap.f 
# AT/rd,  AT/deg, Rmi/cm, Rma/cm, RM/cm, NR, dR/cm, NX, dX/cm, dA/rd : 
#   1.04719755E+00   6.00000000E+01   1.00000000E+01   7.00000000E+01   5.00000000E+01 121   5.00000000E-01 106   4.98665501E-01   9.97331001E-03
 # 
 # R, Z, X, BY, BZ, BX 
 # cm cm rd kG  kG  kG 
 # 
  1.00000000E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.99950267E+00  0.00000000E+00  9.97314468E-02  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.99801073E+00  0.00000000E+00  1.99452974E-01  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.99552432E+00  0.00000000E+00  2.99154662E-01  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.99204370E+00  0.00000000E+00  3.98826594E-01  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.98756921E+00  0.00000000E+00  4.98458857E-01  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.98210130E+00  0.00000000E+00  5.98041539E-01  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.97564050E+00  0.00000000E+00  6.97564737E-01  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.96818747E+00  0.00000000E+00  7.97018551E-01  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.95974294E+00  0.00000000E+00  8.96393089E-01  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.95030775E+00  0.00000000E+00  9.95678466E-01  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.93988285E+00  0.00000000E+00  1.09486481E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.92846926E+00  0.00000000E+00  1.19394225E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.91606813E+00  0.00000000E+00  1.29290093E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.90268069E+00  0.00000000E+00  1.39173101E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.88830826E+00  0.00000000E+00  1.49042266E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.87295229E+00  0.00000000E+00  1.58896607E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.85661429E+00  0.00000000E+00  1.68735142E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.83929589E+00  0.00000000E+00  1.78556895E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.82099881E+00  0.00000000E+00  1.88360887E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.80172488E+00  0.00000000E+00  1.98146143E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.78147601E+00  0.00000000E+00  2.07911691E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.76025421E+00  0.00000000E+00  2.17656558E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.73806160E+00  0.00000000E+00  2.27379776E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.71490038E+00  0.00000000E+00  2.37080378E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.69077286E+00  0.00000000E+00  2.46757398E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.66568144E+00  0.00000000E+00  2.56409874E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.63962861E+00  0.00000000E+00  2.66036846E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.61261696E+00  0.00000000E+00  2.75637356E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.58464918E+00  0.00000000E+00  2.85210449E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.55572806E+00  0.00000000E+00  2.94755174E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.52585646E+00  0.00000000E+00  3.04270581E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
