# F0(1,2),  F0(1,1),  F0(3,4),  F0(3,3) ,  F0(5,6),  F0(5,5),  F0(1,6),  F0(2,6),  F0(3,6),  F0(4,6),  PHY/(2.D0*PI),  PHZ/(2.D0*PI),  SCUM,  NOEL,  R(1,6),  R(2,6),  R(3,6),  R(4,6)
 -0.00000E+00   5.09505E-01  -0.00000E+00   6.61672E+00   9.84190E-35   5.19092-270  -5.10900E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00      1  0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 -0.00000E+00   5.09505E-01  -9.39561E-11   6.61672E+00   9.84190E-35   5.19092-270  -5.10900E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00      1  0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 -1.31225E-02   5.09571E-01   4.22928E-02   6.61651E+00   9.84190E-35   5.19092-270  -5.10885E-03   6.02055E-05   0.00000E+00   0.00000E+00   1.56082E-03   1.20194E-04   4.99690E-01      1  2.33467E-07   9.34453E-05   0.00000E+00   0.00000E+00
 -2.62468E-02   5.09767E-01   8.45802E-02   6.61587E+00   9.84190E-35   5.19092-270  -5.10840E-03   1.20416E-04   0.00000E+00   0.00000E+00   3.12125E-03   2.40396E-04   9.99381E-01      1  9.33884E-07   1.86897E-04   0.00000E+00   0.00000E+00
 -3.93744E-02   5.10095E-01   1.26856E-01   6.61482E+00   9.84190E-35   5.19092-270  -5.10765E-03   1.80637E-04   0.00000E+00   0.00000E+00   4.68087E-03   3.60613E-04   1.49907E+00      1  2.10130E-06   2.80360E-04   0.00000E+00   0.00000E+00
 -5.25072E-02   5.10554E-01   1.69116E-01   6.61334E+00   9.84190E-35   5.19092-270  -5.10659E-03   2.40872E-04   0.00000E+00   0.00000E+00   6.23928E-03   4.80853E-04   1.99876E+00      1  3.73578E-06   3.73842E-04   0.00000E+00   0.00000E+00
 -6.56468E-02   5.11145E-01   2.11354E-01   6.61144E+00   9.84190E-35   5.19092-270  -5.10524E-03   3.01127E-04   0.00000E+00   0.00000E+00   7.79610E-03   6.01124E-04   2.49845E+00      1  5.83744E-06   4.67348E-04   0.00000E+00   0.00000E+00
 -7.87949E-02   5.11866E-01   2.53564E-01   6.60911E+00   9.84190E-35   5.19092-270  -5.10358E-03   3.61408E-04   0.00000E+00   0.00000E+00   9.35092E-03   7.21433E-04   2.99814E+00      1  8.40641E-06   5.60884E-04   0.00000E+00   0.00000E+00
 -9.19533E-02   5.12719E-01   2.95742E-01   6.60637E+00   9.84190E-35   5.19092-270  -5.10163E-03   4.21718E-04   0.00000E+00   0.00000E+00   1.09033E-02   8.41788E-04   3.49783E+00      1  1.14429E-05   6.54457E-04   0.00000E+00   0.00000E+00
 -1.05124E-01   5.13704E-01   3.37881E-01   6.60320E+00   9.84190E-35   5.19092-270  -5.09937E-03   4.82064E-04   0.00000E+00   0.00000E+00   1.24530E-02   9.62198E-04   3.99752E+00      1  1.49470E-05   7.48073E-04   0.00000E+00   0.00000E+00
